session,roll
16,9
16,17
16,1
16,3
16,13
16,1
16,12
16,15
16,6
16,19
16,17
16,6
16,14
16,4
16,19
16,17
16,19
16,12
16,8
16,12
16,5
16,7
16,18
16,1
